timestamp,emg_voltage,muscle_state
0.0,0.02,rest
0.51,0.02,rest
1.01,0.02,rest
1.52,0.02,rest
2.02,0.02,rest
2.52,0.02,rest
3.03,0.02,rest
3.53,0.02,rest
4.03,0.02,rest
4.54,0.02,rest
5.04,0.02,rest
5.55,0.02,rest
6.05,0.02,rest
6.56,0.02,rest
7.06,0.02,rest
7.57,0.02,rest
8.07,0.02,rest
8.58,0.02,rest
9.08,0.02,rest
9.59,0.02,rest
10.09,0.02,rest
10.59,0.02,rest
11.1,0.02,rest
11.6,0.02,rest
12.11,0.02,rest
12.61,0.02,rest
13.12,0.02,rest
13.62,0.02,rest
14.13,0.02,rest
14.63,0.02,rest
15.13,0.02,rest
15.64,0.02,rest
16.14,0.02,rest
16.65,0.02,rest
17.15,0.02,rest
17.65,0.02,rest
18.16,0.02,rest
18.66,0.03,rest
19.16,0.03,rest
19.67,0.03,rest
