timestamp,emg_voltage,muscle_state
0.0,0.19,rest
0.01,0.19,rest
0.02,0.19,rest
0.03,0.19,rest
0.04,0.19,rest
0.05,0.18,rest
0.06,0.18,rest
0.07,0.19,rest
0.08,0.18,rest
0.09,0.19,rest
0.1,0.19,rest
0.11,0.19,rest
0.12,0.19,rest
0.13,0.19,rest
0.14,0.18,rest
0.15,0.19,rest
0.16,0.19,rest
0.17,0.18,rest
0.18,0.19,rest
0.19,0.18,rest
0.2,0.18,rest
0.21,0.19,rest
0.22,0.18,rest
0.23,0.19,rest
0.24,0.19,rest
0.25,0.18,rest
0.26,0.18,rest
0.27,0.18,rest
0.28,0.19,rest
0.29,0.19,rest
0.3,0.18,rest
0.31,0.19,rest
0.32,0.19,rest
0.33,0.18,rest
0.34,0.18,rest
0.35,0.19,rest
0.36,0.19,rest
0.37,0.19,rest
0.38,0.18,rest
0.39,0.19,rest
0.4,0.19,rest
0.41,0.19,rest
0.42,0.19,rest
0.43,0.19,rest
0.44,0.18,rest
0.45,0.19,rest
0.46,0.18,rest
0.47,0.19,rest
0.48,0.18,rest
0.49,0.19,rest
0.5,0.19,rest
0.51,0.18,rest
0.52,0.18,rest
0.53,0.18,rest
0.54,0.18,rest
0.55,0.19,rest
0.56,0.19,rest
0.57,0.19,rest
0.58,0.19,rest
0.59,0.18,rest
0.6,0.18,rest
0.61,0.19,rest
0.62,0.19,rest
0.63,0.18,rest
0.64,0.18,rest
0.65,0.18,rest
0.66,0.19,rest
0.67,0.18,rest
0.68,0.18,rest
0.69,0.19,rest
0.7,0.18,rest
0.71,0.19,rest
0.72,0.19,rest
0.73,0.18,rest
0.74,0.18,rest
0.75,0.18,rest
0.76,0.18,rest
0.77,0.19,rest
0.78,0.18,rest
0.79,0.18,rest
0.8,0.19,rest
0.81,0.19,rest
0.82,0.19,rest
0.83,0.19,rest
0.84,0.19,rest
0.85,0.19,rest
0.86,0.19,rest
0.87,0.19,rest
0.88,0.19,rest
0.89,0.19,rest
0.9,0.19,rest
0.91,0.19,rest
0.92,0.19,rest
0.93,0.19,rest
0.94,0.19,rest
0.95,0.19,rest
0.96,0.19,rest
0.97,0.2,rest
0.98,0.19,rest
0.99,0.19,rest
1.0,0.19,rest
1.01,0.19,rest
1.02,0.2,rest
1.03,0.19,rest
1.04,0.19,rest
1.05,0.19,rest
1.06,0.19,rest
1.07,0.19,rest
1.08,0.19,rest
1.09,0.19,rest
1.1,0.19,rest
1.11,0.19,rest
1.12,0.19,rest
1.13,0.19,rest
1.14,0.19,rest
1.15,0.19,rest
1.16,0.19,rest
1.17,0.19,rest
1.18,0.19,rest
1.19,0.19,rest
1.2,0.19,rest
1.21,0.19,rest
1.22,0.19,rest
1.23,0.19,rest
1.24,0.19,rest
1.25,0.19,rest
1.26,0.18,rest
1.27,0.19,rest
1.28,0.18,rest
1.29,0.19,rest
1.3,0.18,rest
1.31,0.18,rest
1.32,0.19,rest
1.33,0.19,rest
1.34,0.19,rest
1.35,0.18,rest
1.36,0.19,rest
1.37,0.18,rest
1.38,0.18,rest
1.39,0.19,rest
1.4,0.19,rest
1.41,0.19,rest
1.42,0.19,rest
1.43,0.19,rest
1.44,0.19,rest
1.45,0.19,rest
1.46,0.19,rest
1.47,0.19,rest
1.48,0.19,rest
1.49,0.19,rest
1.5,0.19,rest
1.51,0.19,rest
1.52,0.19,rest
1.53,0.19,rest
1.54,0.19,rest
1.55,0.19,rest
1.56,0.19,rest
1.57,0.19,rest
1.58,0.19,rest
1.59,0.19,rest
1.6,0.19,rest
1.61,0.19,rest
1.62,0.19,rest
1.63,0.19,rest
1.64,0.19,rest
1.65,0.19,rest
1.66,0.19,rest
1.67,0.19,rest
1.68,0.19,rest
1.69,0.19,rest
1.7,0.19,rest
1.71,0.19,rest
1.72,0.19,rest
1.73,0.19,rest
1.74,0.19,rest
1.75,0.19,rest
1.76,0.19,rest
1.77,0.19,rest
1.78,0.19,rest
1.79,0.19,rest
1.8,0.19,rest
1.81,0.19,rest
1.82,0.19,rest
1.83,0.19,rest
1.84,0.19,rest
1.85,0.19,rest
1.86,0.19,rest
1.87,0.19,rest
1.88,0.19,rest
1.89,0.19,rest
1.9,0.19,rest
1.91,0.19,rest
1.92,0.19,rest
1.93,0.19,rest
1.94,0.19,rest
1.95,0.19,rest
1.96,0.19,rest
1.97,0.19,rest
1.98,0.19,rest
1.99,0.19,rest
2.0,0.19,rest
2.01,0.19,rest
2.02,0.19,rest
2.03,0.19,rest
2.04,0.19,rest
2.05,0.19,rest
2.06,0.19,rest
2.07,0.18,rest
2.08,0.19,rest
2.09,0.19,rest
2.1,0.19,rest
2.11,0.19,rest
2.12,0.19,rest
2.13,0.19,rest
2.14,0.19,rest
2.15,0.19,rest
2.16,0.19,rest
2.17,0.19,rest
2.18,0.19,rest
2.19,0.19,rest
2.2,0.19,rest
2.21,0.19,rest
2.22,0.18,rest
2.23,0.19,rest
2.24,0.19,rest
2.25,0.19,rest
2.26,0.19,rest
2.27,0.19,rest
2.28,0.19,rest
2.29,0.19,rest
2.3,0.19,rest
2.31,0.19,rest
2.32,0.19,rest
2.33,0.19,rest
2.34,0.19,rest
2.35,0.19,rest
2.36,0.19,rest
2.37,0.19,rest
2.38,0.19,rest
2.39,0.19,rest
2.4,0.19,rest
2.41,0.19,rest
2.42,0.19,rest
2.43,0.19,rest
2.44,0.19,rest
2.45,0.19,rest
2.46,0.19,rest
2.47,0.19,rest
2.48,0.19,rest
2.49,0.19,rest
2.5,0.19,rest
