timestamp,raw_value,emg_voltage,filtered_value,muscle_state
1.97,973,0.78,0.79,active
1.98,970,0.78,0.78,active
1.99,973,0.78,0.78,active
2.0,973,0.78,0.78,active
2.01,974,0.78,0.78,active
2.02,972,0.78,0.78,active
2.03,973,0.78,0.78,active
2.04,970,0.78,0.78,active
2.05,974,0.78,0.78,active
2.06,974,0.78,0.78,active
2.07,974,0.78,0.78,active
2.08,974,0.78,0.78,active
2.09,972,0.78,0.78,active
2.1,972,0.78,0.78,active
2.11,974,0.78,0.78,active
2.12,973,0.78,0.78,active
2.13,974,0.78,0.78,active
2.14,974,0.78,0.78,active
2.15,974,0.78,0.78,active
2.16,973,0.78,0.78,active
2.17,972,0.78,0.78,active
2.18,973,0.78,0.78,active
2.19,971,0.78,0.78,active
2.2,974,0.78,0.78,active
2.21,972,0.78,0.78,active
2.22,974,0.78,0.78,active
2.23,974,0.78,0.78,active
2.24,972,0.78,0.78,active
2.25,973,0.78,0.78,active
2.26,974,0.78,0.78,active
2.27,972,0.78,0.78,active
2.28,972,0.78,0.78,active
2.29,973,0.78,0.78,active
2.3,964,0.78,0.78,active
2.31,944,0.76,0.77,active
2.32,919,0.74,0.76,active
2.33,911,0.73,0.74,active
2.34,893,0.72,0.73,active
2.35,881,0.71,0.72,active
2.36,866,0.7,0.71,active
2.37,844,0.68,0.69,active
2.38,836,0.67,0.68,active
2.39,816,0.66,0.67,active
2.4,806,0.65,0.66,active
2.41,786,0.63,0.64,active
2.42,765,0.62,0.63,active
2.43,754,0.61,0.62,active
2.44,738,0.59,0.6,active
2.45,724,0.58,0.59,active
2.46,706,0.57,0.58,active
2.47,689,0.56,0.57,active
2.48,674,0.54,0.55,active
2.49,654,0.53,0.54,active
2.5,645,0.52,0.53,active
2.51,632,0.51,0.52,active
2.52,610,0.49,0.5,active
2.53,597,0.48,0.49,active
2.54,578,0.47,0.48,active
2.55,571,0.46,0.47,active
2.56,561,0.45,0.46,active
2.57,545,0.44,0.45,active
2.58,536,0.43,0.44,active
2.59,520,0.42,0.43,active
2.6,510,0.41,0.42,active
2.61,495,0.4,0.41,active
2.62,480,0.39,0.4,active
2.63,479,0.39,0.39,active
2.64,462,0.37,0.38,active
2.65,462,0.37,0.38,active
2.66,447,0.36,0.37,active
2.67,433,0.35,0.36,active
2.68,434,0.35,0.35,active
2.69,419,0.34,0.34,active
2.7,415,0.33,0.34,active
2.71,407,0.33,0.33,active
2.72,395,0.32,0.33,active
2.73,390,0.31,0.32,active
2.74,381,0.31,0.31,active
2.75,381,0.31,0.31,active
2.76,372,0.3,0.3,active
2.77,362,0.29,0.3,active
2.78,360,0.29,0.29,active
2.79,350,0.28,0.29,active
2.8,342,0.28,0.28,active
2.81,333,0.27,0.27,active
2.82,324,0.26,0.27,active
2.83,325,0.26,0.26,active
2.84,318,0.26,0.26,active
2.85,315,0.25,0.26,active
2.86,308,0.25,0.25,active
2.87,301,0.24,0.25,active
2.88,297,0.24,0.24,active
2.89,288,0.23,0.24,active
2.9,286,0.23,0.23,active
2.91,277,0.22,0.23,active
2.92,273,0.22,0.22,active
2.93,267,0.22,0.22,active
2.94,262,0.21,0.21,active
2.95,260,0.21,0.21,active
2.96,253,0.2,0.21,active
2.97,244,0.2,0.2,rest
2.98,242,0.2,0.2,rest
2.99,237,0.19,0.19,rest
3.0,234,0.19,0.19,rest
3.01,227,0.18,0.19,rest
3.02,219,0.18,0.18,rest
3.03,222,0.18,0.18,rest
3.04,214,0.17,0.18,rest
3.05,213,0.17,0.17,rest
3.06,208,0.17,0.17,rest
3.07,204,0.16,0.17,rest
3.08,201,0.16,0.16,rest
3.09,195,0.16,0.16,rest
3.1,192,0.15,0.16,rest
3.11,187,0.15,0.15,rest
3.12,185,0.15,0.15,rest
3.13,184,0.15,0.15,rest
3.14,180,0.15,0.15,rest
3.15,182,0.15,0.15,rest
3.16,174,0.14,0.14,rest
3.17,171,0.14,0.14,rest
3.18,173,0.14,0.14,rest
3.19,167,0.13,0.14,rest
3.2,166,0.13,0.14,rest
3.21,167,0.13,0.13,rest
3.22,164,0.13,0.13,rest
3.23,165,0.13,0.13,rest
3.24,164,0.13,0.13,rest
3.25,167,0.13,0.13,rest
3.26,165,0.13,0.13,rest
3.27,167,0.13,0.13,rest
3.28,168,0.14,0.13,rest
3.29,167,0.13,0.13,rest
3.3,165,0.13,0.13,rest
3.31,168,0.14,0.13,rest
3.32,168,0.14,0.13,rest
3.33,171,0.14,0.14,rest
3.34,175,0.14,0.14,rest
3.35,176,0.14,0.14,rest
3.36,175,0.14,0.14,rest
3.37,177,0.14,0.14,rest
3.38,178,0.14,0.14,rest
3.39,178,0.14,0.14,rest
3.4,182,0.15,0.14,rest
3.41,181,0.15,0.15,rest
3.42,180,0.15,0.15,rest
3.43,185,0.15,0.15,rest
3.44,184,0.15,0.15,rest
3.45,187,0.15,0.15,rest
3.46,186,0.15,0.15,rest
3.47,188,0.15,0.15,rest
3.48,188,0.15,0.15,rest
3.49,186,0.15,0.15,rest
3.5,192,0.15,0.15,rest
3.51,196,0.16,0.16,rest
3.52,190,0.15,0.16,rest
3.53,193,0.16,0.16,rest
3.54,190,0.15,0.15,rest
3.55,189,0.15,0.15,rest
3.56,199,0.16,0.16,rest
3.57,202,0.16,0.16,rest
3.58,228,0.18,0.17,rest
3.59,238,0.19,0.18,rest
3.6,264,0.21,0.2,active
3.61,259,0.21,0.21,active
3.62,279,0.22,0.22,active
3.63,299,0.24,0.23,active
3.64,281,0.23,0.23,active
3.65,262,0.21,0.22,active
3.66,252,0.2,0.21,active
3.67,233,0.19,0.2,rest
3.68,270,0.22,0.2,active
3.69,262,0.21,0.21,active
3.7,248,0.2,0.21,rest
3.71,241,0.19,0.2,rest
3.72,233,0.19,0.19,rest
3.73,232,0.19,0.19,rest
3.74,244,0.2,0.19,rest
3.75,254,0.2,0.2,active
3.76,244,0.2,0.2,rest
3.77,257,0.21,0.2,active
3.78,252,0.2,0.2,active
3.79,261,0.21,0.21,active
3.8,266,0.21,0.21,active
3.81,274,0.22,0.22,active
3.82,281,0.23,0.22,active
3.83,294,0.24,0.23,active
3.84,314,0.25,0.24,active
3.85,338,0.27,0.26,active
3.86,383,0.31,0.28,active
3.87,409,0.33,0.31,active
3.88,455,0.37,0.34,active
3.89,515,0.42,0.38,active
3.9,572,0.46,0.42,active
3.91,635,0.51,0.47,active
3.92,708,0.57,0.53,active
3.93,774,0.62,0.58,active
3.94,851,0.69,0.64,active
3.95,921,0.74,0.7,active
3.96,969,0.78,0.75,active
3.97,972,0.78,0.77,active
3.98,971,0.78,0.78,active
3.99,969,0.78,0.78,active
4.0,972,0.78,0.78,active
4.01,974,0.78,0.78,active
4.02,970,0.78,0.78,active
4.03,973,0.78,0.78,active
4.04,974,0.78,0.78,active
4.05,972,0.78,0.78,active
4.06,973,0.78,0.78,active
4.07,972,0.78,0.78,active
4.08,973,0.78,0.78,active
4.09,972,0.78,0.78,active
4.1,973,0.78,0.78,active
4.11,970,0.78,0.78,active
4.12,972,0.78,0.78,active
4.13,972,0.78,0.78,active
4.14,969,0.78,0.78,active
4.15,973,0.78,0.78,active
4.16,972,0.78,0.78,active
4.17,973,0.78,0.78,active
4.18,971,0.78,0.78,active
4.19,970,0.78,0.78,active
4.2,972,0.78,0.78,active
4.21,970,0.78,0.78,active
4.22,969,0.78,0.78,active
4.23,970,0.78,0.78,active
4.24,971,0.78,0.78,active
4.25,972,0.78,0.78,active
4.26,974,0.78,0.78,active
4.27,969,0.78,0.78,active
4.28,973,0.78,0.78,active
4.29,972,0.78,0.78,active
4.3,970,0.78,0.78,active
4.31,974,0.78,0.78,active
4.32,973,0.78,0.78,active
4.33,977,0.79,0.79,active
4.34,968,0.78,0.78,active
4.35,973,0.78,0.78,active
4.36,974,0.78,0.78,active
4.37,974,0.78,0.78,active
4.38,974,0.78,0.78,active
4.39,972,0.78,0.78,active
4.4,974,0.78,0.78,active
4.41,974,0.78,0.78,active
4.42,972,0.78,0.78,active
4.43,973,0.78,0.78,active
4.44,972,0.78,0.78,active
4.45,974,0.78,0.78,active
4.46,974,0.78,0.78,active
4.47,973,0.78,0.78,active
4.48,970,0.78,0.78,active
4.49,974,0.78,0.78,active
4.5,974,0.78,0.78,active
4.51,973,0.78,0.78,active
4.52,972,0.78,0.78,active
4.53,970,0.78,0.78,active
4.54,969,0.78,0.78,active
4.55,974,0.78,0.78,active
4.56,971,0.78,0.78,active
4.57,969,0.78,0.78,active
4.58,973,0.78,0.78,active
4.59,974,0.78,0.78,active
4.6,969,0.78,0.78,active
4.61,969,0.78,0.78,active
4.62,970,0.78,0.78,active
4.63,974,0.78,0.78,active
4.64,972,0.78,0.78,active
4.65,974,0.78,0.78,active
4.66,971,0.78,0.78,active
4.67,967,0.78,0.78,active
4.68,971,0.78,0.78,active
4.69,974,0.78,0.78,active
4.7,974,0.78,0.78,active
4.71,974,0.78,0.78,active
4.72,973,0.78,0.78,active
4.73,977,0.79,0.79,active
4.74,972,0.78,0.79,active
4.75,961,0.77,0.78,active
4.76,921,0.74,0.76,active
4.77,883,0.71,0.74,active
4.78,842,0.68,0.7,active
4.79,804,0.65,0.67,active
4.8,759,0.61,0.64,active
4.81,730,0.59,0.61,active
4.82,696,0.56,0.58,active
4.83,660,0.53,0.55,active
4.84,633,0.51,0.53,active
4.85,596,0.48,0.5,active
4.86,572,0.46,0.48,active
4.87,551,0.44,0.46,active
4.88,520,0.42,0.44,active
4.89,498,0.4,0.42,active
4.9,470,0.38,0.4,active
4.91,452,0.36,0.38,active
4.92,434,0.35,0.36,active
4.93,409,0.33,0.34,active
4.94,392,0.32,0.33,active
4.95,373,0.3,0.31,active
4.96,359,0.29,0.3,active
4.97,344,0.28,0.29,active
4.98,326,0.26,0.27,active
4.99,314,0.25,0.26,active
5.0,296,0.24,0.25,active
5.01,289,0.23,0.24,active
5.02,277,0.22,0.23,active
5.03,261,0.21,0.22,active
5.04,253,0.2,0.21,active
5.05,238,0.19,0.2,rest
5.06,231,0.19,0.19,rest
5.07,225,0.18,0.19,rest
5.08,216,0.17,0.18,rest
5.09,209,0.17,0.17,rest
5.1,200,0.16,0.17,rest
5.11,196,0.16,0.16,rest
5.12,192,0.15,0.16,rest
5.13,182,0.15,0.15,rest
5.14,180,0.15,0.15,rest
5.15,173,0.14,0.14,rest
5.16,169,0.14,0.14,rest
5.17,171,0.14,0.14,rest
5.18,162,0.13,0.13,rest
