timestamp,raw_value,emg_voltage,filtered_value,muscle_state
0.01,38,0.03,24.01,rest
0.02,38,0.03,10.02,rest
0.03,43,0.03,0.03,rest
0.04,43,0.03,0.03,rest
0.05,42,0.03,0.03,rest
0.06,44,0.04,0.03,rest
0.07,43,0.03,0.03,rest
0.08,42,0.03,0.03,rest
0.09,47,0.04,0.04,rest
0.1,47,0.04,0.04,rest
0.11,48,0.04,0.04,rest
0.12,48,0.04,0.04,rest
0.13,50,0.04,0.04,rest
0.14,55,0.04,0.04,rest
0.15,55,0.04,0.04,rest
0.16,55,0.04,0.04,rest
0.17,53,0.04,0.04,rest
0.18,53,0.04,0.04,rest
0.19,56,0.05,0.04,rest
0.2,56,0.05,0.04,rest
0.21,54,0.04,0.04,rest
0.22,55,0.04,0.04,rest
0.23,62,0.05,0.05,rest
0.24,66,0.05,0.05,rest
0.25,77,0.06,0.06,rest
0.26,72,0.06,0.06,rest
0.27,79,0.06,0.06,rest
0.28,93,0.07,0.07,rest
0.29,101,0.08,0.08,rest
0.3,96,0.08,0.08,rest
0.31,101,0.08,0.08,rest
0.32,104,0.08,0.08,rest
0.33,115,0.09,0.09,rest
0.34,124,0.1,0.09,rest
0.35,117,0.09,0.1,rest
0.36,171,0.14,0.11,rest
0.37,185,0.15,0.13,rest
0.38,170,0.14,0.14,rest
0.39,244,0.2,0.16,rest
0.4,253,0.2,0.19,active
0.41,267,0.22,0.21,active
0.42,289,0.23,0.22,active
0.43,279,0.22,0.23,active
0.44,290,0.23,0.23,active
0.45,296,0.24,0.23,active
0.46,302,0.24,0.24,active
0.47,329,0.27,0.25,active
0.48,303,0.24,0.25,active
0.49,290,0.23,0.24,active
0.5,332,0.27,0.25,active
0.51,322,0.26,0.26,active
0.52,338,0.27,0.27,active
0.53,339,0.27,0.27,active
0.54,347,0.28,0.28,active
0.55,343,0.28,0.28,active
0.56,338,0.27,0.28,active
0.57,333,0.27,0.27,active
0.58,356,0.29,0.28,active
0.59,350,0.28,0.28,active
0.6,347,0.28,0.28,active
0.61,332,0.27,0.28,active
0.62,320,0.26,0.27,active
0.63,316,0.25,0.26,active
0.64,304,0.24,0.25,active
0.65,308,0.25,0.25,active
0.66,294,0.24,0.24,active
0.67,300,0.24,0.24,active
0.68,279,0.22,0.23,active
0.69,273,0.22,0.23,active
0.7,278,0.22,0.22,active
0.71,268,0.22,0.22,active
0.72,254,0.2,0.21,active
0.73,243,0.2,0.2,rest
0.74,236,0.19,0.2,rest
0.75,217,0.17,0.19,rest
0.76,205,0.17,0.17,rest
0.77,192,0.15,0.16,rest
0.78,183,0.15,0.15,rest
0.79,179,0.14,0.15,rest
0.8,174,0.14,0.14,rest
0.81,164,0.13,0.14,rest
0.82,152,0.12,0.13,rest
0.83,148,0.12,0.12,rest
0.84,144,0.12,0.12,rest
0.85,136,0.11,0.11,rest
0.86,136,0.11,0.11,rest
