timestamp,emg_voltage,muscle_state
0.01,0.03,rest
0.51,0.03,rest
1.01,0.03,rest
1.52,0.03,rest
2.02,0.03,rest
2.53,0.03,rest
3.03,0.03,rest
3.53,0.03,rest
4.04,0.03,rest
4.55,0.03,rest
5.05,0.03,rest
5.55,0.03,rest
6.06,0.03,rest
6.56,0.03,rest
7.07,0.03,rest
7.57,0.02,rest
8.07,0.03,rest
8.58,0.03,rest
9.08,0.03,rest
9.59,0.03,rest
10.09,0.03,rest
10.59,0.03,rest
11.1,0.03,rest
11.6,0.03,rest
12.1,0.03,rest
12.61,0.02,rest
13.11,0.03,rest
13.62,0.02,rest
14.12,0.02,rest
14.63,0.02,rest
15.13,0.03,rest
15.63,0.03,rest
16.13,0.03,rest
16.64,0.03,rest
17.14,0.04,rest
17.65,0.04,rest
18.16,0.04,rest
18.66,0.04,rest
19.16,0.04,rest
19.67,0.05,rest
