timestamp,raw_value,emg_voltage,filtered_value,muscle_state
0.0,26,0.02,24.01,rest
0.01,28,0.02,10.02,rest
0.02,26,0.02,0.02,rest
0.03,26,0.02,0.02,rest
0.04,28,0.02,0.02,rest
0.05,29,0.02,0.02,rest
0.06,27,0.02,0.02,rest
0.07,27,0.02,0.02,rest
0.08,27,0.02,0.02,rest
0.09,28,0.02,0.02,rest
0.1,27,0.02,0.02,rest
0.11,26,0.02,0.02,rest
0.12,27,0.02,0.02,rest
0.13,29,0.02,0.02,rest
0.14,27,0.02,0.02,rest
0.15,27,0.02,0.02,rest
0.16,27,0.02,0.02,rest
0.17,26,0.02,0.02,rest
0.18,26,0.02,0.02,rest
0.19,26,0.02,0.02,rest
0.2,26,0.02,0.02,rest
0.21,26,0.02,0.02,rest
0.22,26,0.02,0.02,rest
0.23,25,0.02,0.02,rest
0.24,27,0.02,0.02,rest
0.25,27,0.02,0.02,rest
0.26,26,0.02,0.02,rest
0.27,25,0.02,0.02,rest
0.28,27,0.02,0.02,rest
0.29,27,0.02,0.02,rest
0.3,27,0.02,0.02,rest
0.31,27,0.02,0.02,rest
0.32,26,0.02,0.02,rest
0.33,26,0.02,0.02,rest
0.34,27,0.02,0.02,rest
0.35,26,0.02,0.02,rest
0.36,26,0.02,0.02,rest
0.37,26,0.02,0.02,rest
0.38,26,0.02,0.02,rest
0.39,26,0.02,0.02,rest
0.4,26,0.02,0.02,rest
0.41,26,0.02,0.02,rest
0.42,25,0.02,0.02,rest
0.43,26,0.02,0.02,rest
0.44,26,0.02,0.02,rest
0.45,27,0.02,0.02,rest
0.46,25,0.02,0.02,rest
0.47,26,0.02,0.02,rest
0.48,26,0.02,0.02,rest
0.49,26,0.02,0.02,rest
0.5,26,0.02,0.02,rest
0.51,25,0.02,0.02,rest
0.52,26,0.02,0.02,rest
0.53,26,0.02,0.02,rest
0.54,26,0.02,0.02,rest
0.55,25,0.02,0.02,rest
0.56,26,0.02,0.02,rest
0.57,26,0.02,0.02,rest
0.58,27,0.02,0.02,rest
0.59,26,0.02,0.02,rest
0.6,26,0.02,0.02,rest
0.61,26,0.02,0.02,rest
0.62,27,0.02,0.02,rest
0.63,26,0.02,0.02,rest
0.64,26,0.02,0.02,rest
0.65,26,0.02,0.02,rest
0.66,28,0.02,0.02,rest
0.67,26,0.02,0.02,rest
0.68,26,0.02,0.02,rest
0.69,27,0.02,0.02,rest
0.7,26,0.02,0.02,rest
0.71,26,0.02,0.02,rest
0.72,26,0.02,0.02,rest
0.73,26,0.02,0.02,rest
0.74,26,0.02,0.02,rest
0.75,27,0.02,0.02,rest
0.76,26,0.02,0.02,rest
0.77,26,0.02,0.02,rest
0.78,26,0.02,0.02,rest
0.79,26,0.02,0.02,rest
0.8,26,0.02,0.02,rest
0.81,26,0.02,0.02,rest
0.82,26,0.02,0.02,rest
0.83,26,0.02,0.02,rest
0.84,25,0.02,0.02,rest
0.85,25,0.02,0.02,rest
0.86,25,0.02,0.02,rest
0.87,26,0.02,0.02,rest
0.88,26,0.02,0.02,rest
0.89,26,0.02,0.02,rest
0.9,26,0.02,0.02,rest
0.91,27,0.02,0.02,rest
0.92,26,0.02,0.02,rest
0.93,26,0.02,0.02,rest
0.94,26,0.02,0.02,rest
0.95,27,0.02,0.02,rest
0.96,26,0.02,0.02,rest
0.97,26,0.02,0.02,rest
0.98,26,0.02,0.02,rest
0.99,28,0.02,0.02,rest
1.0,26,0.02,0.02,rest
1.01,27,0.02,0.02,rest
1.02,26,0.02,0.02,rest
1.03,25,0.02,0.02,rest
1.04,26,0.02,0.02,rest
1.05,27,0.02,0.02,rest
1.06,27,0.02,0.02,rest
1.07,28,0.02,0.02,rest
1.08,28,0.02,0.02,rest
1.09,26,0.02,0.02,rest
1.1,26,0.02,0.02,rest
1.11,25,0.02,0.02,rest
1.12,27,0.02,0.02,rest
1.13,28,0.02,0.02,rest
1.14,27,0.02,0.02,rest
1.15,26,0.02,0.02,rest
1.16,27,0.02,0.02,rest
1.17,26,0.02,0.02,rest
1.18,26,0.02,0.02,rest
1.19,25,0.02,0.02,rest
1.2,26,0.02,0.02,rest
1.21,26,0.02,0.02,rest
1.22,26,0.02,0.02,rest
1.23,26,0.02,0.02,rest
1.24,26,0.02,0.02,rest
