timestamp,raw_value,emg_voltage,filtered_value,muscle_state
0.01,150,0.12,24.05,rest
0.02,146,0.12,10.1,rest
0.03,148,0.12,0.12,rest
0.04,148,0.12,0.12,rest
0.05,146,0.12,0.12,rest
0.06,146,0.12,0.12,rest
0.07,147,0.12,0.12,rest
0.08,146,0.12,0.12,rest
0.09,145,0.12,0.12,rest
0.1,149,0.12,0.12,rest
0.11,150,0.12,0.12,rest
0.12,148,0.12,0.12,rest
0.13,149,0.12,0.12,rest
0.14,151,0.12,0.12,rest
0.15,148,0.12,0.12,rest
0.16,149,0.12,0.12,rest
0.17,150,0.12,0.12,rest
0.18,148,0.12,0.12,rest
0.19,148,0.12,0.12,rest
0.2,150,0.12,0.12,rest
0.21,151,0.12,0.12,rest
0.22,148,0.12,0.12,rest
0.23,150,0.12,0.12,rest
0.24,149,0.12,0.12,rest
0.25,149,0.12,0.12,rest
0.26,152,0.12,0.12,rest
0.27,153,0.12,0.12,rest
0.28,151,0.12,0.12,rest
0.29,153,0.12,0.12,rest
0.3,158,0.13,0.12,rest
0.31,155,0.12,0.13,rest
0.32,155,0.12,0.13,rest
0.33,170,0.14,0.13,rest
0.34,174,0.14,0.14,rest
0.35,172,0.14,0.14,rest
0.36,172,0.14,0.14,rest
0.37,189,0.15,0.14,rest
0.38,204,0.16,0.15,active
0.39,203,0.16,0.16,active
0.4,197,0.16,0.16,rest
0.41,209,0.17,0.16,active
0.42,222,0.18,0.17,active
0.43,234,0.19,0.18,active
0.44,238,0.19,0.19,active
0.45,236,0.19,0.19,active
0.46,265,0.21,0.2,active
0.47,258,0.21,0.21,active
0.48,256,0.21,0.21,active
0.49,292,0.24,0.22,active
0.5,291,0.23,0.23,active
0.51,281,0.23,0.23,active
0.52,281,0.23,0.23,active
0.53,279,0.22,0.23,active
0.54,285,0.23,0.23,active
0.55,294,0.24,0.23,active
0.56,290,0.23,0.23,active
0.57,291,0.23,0.23,active
0.58,298,0.24,0.24,active
0.59,318,0.26,0.25,active
0.6,308,0.25,0.25,active
0.61,347,0.28,0.26,active
0.62,452,0.36,0.31,active
0.63,469,0.38,0.35,active
0.64,530,0.43,0.39,active
0.65,559,0.45,0.43,active
0.66,578,0.47,0.45,active
0.67,632,0.51,0.48,active
0.68,637,0.51,0.5,active
0.69,682,0.55,0.53,active
0.7,651,0.52,0.53,active
0.71,650,0.52,0.53,active
0.72,666,0.54,0.53,active
0.73,651,0.52,0.53,active
0.74,684,0.55,0.54,active
0.75,659,0.53,0.54,active
0.76,653,0.53,0.53,active
0.77,644,0.52,0.52,active
0.78,627,0.51,0.51,active
0.79,612,0.49,0.5,active
0.8,580,0.47,0.49,active
0.81,547,0.44,0.46,active
0.82,514,0.41,0.44,active
0.83,483,0.39,0.41,active
0.84,472,0.38,0.39,active
0.85,440,0.35,0.37,active
0.86,404,0.33,0.35,active
0.87,383,0.31,0.32,active
0.88,353,0.28,0.3,active
0.89,328,0.26,0.28,active
0.9,308,0.25,0.26,active
0.91,290,0.23,0.25,active
0.92,271,0.22,0.23,active
0.93,260,0.21,0.22,active
0.94,250,0.2,0.21,active
0.95,236,0.19,0.2,active
0.96,233,0.19,0.19,active
0.97,225,0.18,0.19,active
0.98,224,0.18,0.18,active
0.99,218,0.18,0.18,active
1.0,218,0.18,0.18,active
1.01,227,0.18,0.18,active
1.02,223,0.18,0.18,active
1.03,232,0.19,0.18,active
1.04,228,0.18,0.18,active
1.05,224,0.18,0.18,active
1.06,232,0.19,0.18,active
1.07,230,0.19,0.19,active
1.08,237,0.19,0.19,active
1.09,237,0.19,0.19,active
1.1,237,0.19,0.19,active
1.11,243,0.2,0.19,active
1.12,246,0.2,0.2,active
1.13,252,0.2,0.2,active
1.14,256,0.21,0.2,active
1.15,252,0.2,0.2,active
1.16,260,0.21,0.21,active
1.17,261,0.21,0.21,active
1.18,267,0.22,0.21,active
1.19,267,0.22,0.21,active
1.2,262,0.21,0.21,active
1.21,266,0.21,0.21,active
1.22,263,0.21,0.21,active
1.23,269,0.22,0.21,active
1.24,266,0.21,0.21,active
1.25,260,0.21,0.21,active
1.26,263,0.21,0.21,active
1.27,260,0.21,0.21,active
1.28,267,0.22,0.21,active
1.29,264,0.21,0.21,active
1.3,261,0.21,0.21,active
1.31,266,0.21,0.21,active
1.32,263,0.21,0.21,active
1.33,270,0.22,0.21,active
1.34,260,0.21,0.21,active
1.35,261,0.21,0.21,active
1.36,263,0.21,0.21,active
1.37,254,0.2,0.21,active
1.38,260,0.21,0.21,active
1.39,253,0.2,0.21,active
1.4,247,0.2,0.2,active
1.41,259,0.21,0.2,active
1.42,250,0.2,0.2,active
1.43,252,0.2,0.2,active
1.44,246,0.2,0.2,active
1.45,245,0.2,0.2,active
1.46,248,0.2,0.2,active
1.47,236,0.19,0.2,active
1.48,240,0.19,0.19,active
1.49,237,0.19,0.19,active
1.5,232,0.19,0.19,active
1.51,231,0.19,0.19,active
1.52,224,0.18,0.18,active
1.53,223,0.18,0.18,active
1.54,219,0.18,0.18,active
1.55,218,0.18,0.18,active
1.56,219,0.18,0.18,active
1.57,212,0.17,0.17,active
1.58,216,0.17,0.17,active
1.59,210,0.17,0.17,active
1.6,205,0.17,0.17,active
1.61,208,0.17,0.17,active
1.62,205,0.17,0.17,active
1.63,204,0.16,0.17,active
1.64,199,0.16,0.16,rest
1.65,200,0.16,0.16,rest
1.66,202,0.16,0.16,active
1.67,197,0.16,0.16,rest
1.68,194,0.16,0.16,rest
1.69,192,0.15,0.16,rest
1.7,191,0.15,0.15,rest
1.71,192,0.15,0.15,rest
1.72,186,0.15,0.15,rest
1.73,187,0.15,0.15,rest
1.74,182,0.15,0.15,rest
1.75,184,0.15,0.15,rest
1.76,184,0.15,0.15,rest
1.77,181,0.15,0.15,rest
1.78,184,0.15,0.15,rest
1.79,175,0.14,0.14,rest
1.8,174,0.14,0.14,rest
1.81,177,0.14,0.14,rest
