timestamp,emg_voltage,muscle_state
0.0,0.02,rest
0.01,0.02,rest
0.02,0.02,rest
0.03,0.02,rest
0.04,0.02,rest
0.05,0.02,rest
0.06,0.02,rest
0.07,0.02,rest
0.08,0.02,rest
0.09,0.02,rest
0.1,0.02,rest
0.11,0.02,rest
0.12,0.02,rest
0.13,0.02,rest
0.14,0.02,rest
0.15,0.02,rest
0.16,0.02,rest
0.17,0.03,rest
0.18,0.02,rest
0.19,0.02,rest
0.2,0.02,rest
0.21,0.02,rest
0.22,0.02,rest
0.23,0.02,rest
0.24,0.02,rest
0.25,0.02,rest
0.26,0.02,rest
0.27,0.02,rest
0.28,0.02,rest
0.29,0.02,rest
0.3,0.02,rest
0.31,0.03,rest
0.32,0.03,rest
0.33,0.03,rest
0.34,0.04,rest
0.35,0.04,rest
0.36,0.04,rest
0.37,0.05,rest
0.38,0.06,rest
0.39,0.08,rest
0.4,0.1,rest
0.41,0.14,rest
0.42,0.15,rest
0.43,0.16,rest
0.44,0.16,rest
0.45,0.19,rest
0.46,0.29,rest
0.47,0.29,rest
0.48,0.29,rest
0.49,0.28,rest
0.5,0.31,active
0.51,0.31,active
0.52,0.33,active
0.53,0.33,active
0.54,0.32,active
0.55,0.33,active
0.56,0.36,active
0.57,0.35,active
0.58,0.33,active
0.59,0.34,active
0.6,0.37,active
0.61,0.36,active
0.62,0.38,active
0.63,0.37,active
0.64,0.36,active
0.65,0.36,active
0.66,0.35,active
0.67,0.34,active
0.68,0.36,active
0.69,0.39,active
0.7,0.37,active
0.71,0.34,active
0.72,0.34,active
0.73,0.33,active
0.74,0.3,active
0.75,0.3,rest
0.76,0.28,rest
0.77,0.26,rest
0.78,0.25,rest
0.79,0.24,rest
0.8,0.23,rest
0.81,0.22,rest
0.82,0.22,rest
0.83,0.22,rest
0.84,0.21,rest
0.85,0.21,rest
0.86,0.21,rest
0.87,0.2,rest
0.88,0.18,rest
0.89,0.17,rest
0.9,0.16,rest
0.91,0.15,rest
0.92,0.13,rest
0.93,0.12,rest
0.94,0.11,rest
0.95,0.1,rest
0.96,0.09,rest
0.97,0.08,rest
0.98,0.07,rest
0.99,0.07,rest
1.0,0.06,rest
1.01,0.06,rest
1.02,0.06,rest
1.03,0.06,rest
1.04,0.06,rest
1.05,0.06,rest
1.06,0.06,rest
1.07,0.07,rest
1.08,0.07,rest
1.09,0.06,rest
1.1,0.06,rest
1.11,0.06,rest
1.12,0.06,rest
1.13,0.06,rest
1.14,0.06,rest
1.15,0.07,rest
1.16,0.07,rest
1.17,0.08,rest
1.18,0.08,rest
1.19,0.09,rest
1.2,0.11,rest
1.21,0.12,rest
1.22,0.13,rest
1.23,0.19,rest
1.24,0.2,rest
1.25,0.2,rest
1.26,0.2,rest
1.27,0.22,rest
1.28,0.23,rest
1.29,0.24,rest
1.3,0.25,rest
1.31,0.28,rest
1.32,0.26,rest
1.33,0.27,rest
1.34,0.33,active
1.35,0.32,active
1.36,0.32,active
1.37,0.35,active
1.38,0.38,active
1.39,0.39,active
1.4,0.4,active
1.41,0.37,active
1.42,0.38,active
1.43,0.38,active
1.44,0.4,active
1.45,0.39,active
1.46,0.37,active
1.47,0.36,active
1.48,0.35,active
1.49,0.33,active
1.5,0.32,active
1.51,0.32,active
1.52,0.3,rest
1.53,0.29,rest
1.54,0.28,rest
1.55,0.26,rest
1.56,0.24,rest
1.57,0.23,rest
1.58,0.22,rest
1.59,0.21,rest
1.6,0.2,rest
1.61,0.19,rest
1.62,0.18,rest
1.63,0.17,rest
1.64,0.17,rest
1.65,0.16,rest
1.66,0.14,rest
1.67,0.13,rest
1.68,0.12,rest
1.69,0.1,rest
1.7,0.09,rest
1.71,0.09,rest
1.72,0.09,rest
1.73,0.1,rest
1.74,0.1,rest
1.75,0.11,rest
1.76,0.11,rest
1.77,0.12,rest
1.78,0.12,rest
1.79,0.12,rest
1.8,0.12,rest
1.81,0.11,rest
1.82,0.11,rest
1.83,0.11,rest
1.84,0.11,rest
1.85,0.1,rest
1.86,0.1,rest
1.87,0.09,rest
1.88,0.08,rest
1.89,0.08,rest
1.9,0.07,rest
1.91,0.06,rest
1.92,0.06,rest
1.93,0.06,rest
1.94,0.06,rest
1.95,0.05,rest
1.96,0.05,rest
1.97,0.05,rest
1.98,0.04,rest
1.99,0.04,rest
2.0,0.04,rest
2.01,0.04,rest
2.02,0.04,rest
2.03,0.04,rest
2.04,0.03,rest
2.05,0.04,rest
2.06,0.03,rest
2.07,0.04,rest
2.08,0.04,rest
2.09,0.04,rest
2.1,0.05,rest
2.11,0.06,rest
2.12,0.08,rest
2.13,0.08,rest
2.14,0.08,rest
2.15,0.13,rest
2.16,0.17,rest
2.17,0.2,rest
2.18,0.23,rest
2.19,0.26,rest
2.2,0.25,rest
2.21,0.26,rest
2.22,0.27,rest
2.23,0.28,rest
2.24,0.27,rest
2.25,0.32,active
2.26,0.3,rest
2.27,0.31,active
2.28,0.32,active
2.29,0.35,active
2.3,0.39,active
2.31,0.37,active
2.32,0.35,active
2.33,0.33,active
2.34,0.33,active
2.35,0.31,active
2.36,0.3,rest
2.37,0.29,rest
2.38,0.26,rest
2.39,0.24,rest
2.4,0.23,rest
2.41,0.22,rest
2.42,0.2,rest
2.43,0.2,rest
2.44,0.19,rest
2.45,0.18,rest
2.46,0.17,rest
2.47,0.17,rest
2.48,0.16,rest
2.49,0.16,rest
2.5,0.15,rest
2.51,0.14,rest
2.52,0.13,rest
2.53,0.12,rest
2.54,0.11,rest
2.55,0.1,rest
2.56,0.1,rest
2.57,0.1,rest
2.58,0.1,rest
2.59,0.1,rest
2.6,0.11,rest
2.61,0.12,rest
2.62,0.12,rest
2.63,0.12,rest
2.64,0.12,rest
2.65,0.12,rest
2.66,0.13,rest
2.67,0.13,rest
2.68,0.13,rest
2.69,0.13,rest
2.7,0.14,rest
2.71,0.14,rest
2.72,0.14,rest
2.73,0.14,rest
2.74,0.13,rest
2.75,0.12,rest
2.76,0.12,rest
2.77,0.11,rest
2.78,0.1,rest
2.79,0.1,rest
2.8,0.09,rest
2.81,0.08,rest
2.82,0.08,rest
2.83,0.07,rest
2.84,0.07,rest
2.85,0.06,rest
2.86,0.06,rest
2.87,0.05,rest
2.88,0.05,rest
2.89,0.05,rest
2.9,0.04,rest
2.91,0.04,rest
2.92,0.04,rest
2.93,0.04,rest
2.94,0.04,rest
2.95,0.04,rest
2.96,0.04,rest
2.97,0.04,rest
2.98,0.04,rest
2.99,0.06,rest
3.0,0.06,rest
3.01,0.07,rest
3.02,0.11,rest
3.03,0.14,rest
3.04,0.15,rest
3.05,0.19,rest
3.06,0.21,rest
3.07,0.22,rest
3.08,0.24,rest
3.09,0.24,rest
3.1,0.23,rest
3.11,0.24,rest
3.12,0.25,rest
3.13,0.24,rest
3.14,0.23,rest
3.15,0.23,rest
3.16,0.23,rest
3.17,0.2,rest
3.18,0.19,rest
3.19,0.21,rest
3.2,0.2,rest
3.21,0.19,rest
3.22,0.17,rest
3.23,0.16,rest
3.24,0.16,rest
3.25,0.14,rest
3.26,0.13,rest
3.27,0.13,rest
3.28,0.12,rest
3.29,0.12,rest
3.3,0.11,rest
3.31,0.1,rest
3.32,0.1,rest
3.33,0.1,rest
3.34,0.09,rest
3.35,0.09,rest
3.36,0.09,rest
3.37,0.09,rest
3.38,0.08,rest
3.39,0.08,rest
3.4,0.07,rest
3.41,0.07,rest
3.42,0.07,rest
3.43,0.07,rest
3.44,0.08,rest
3.45,0.08,rest
3.46,0.09,rest
3.47,0.1,rest
3.48,0.1,rest
3.49,0.1,rest
3.5,0.1,rest
3.51,0.09,rest
3.52,0.09,rest
3.53,0.08,rest
3.54,0.07,rest
3.55,0.07,rest
3.56,0.07,rest
3.57,0.07,rest
3.58,0.07,rest
3.59,0.07,rest
3.6,0.06,rest
3.61,0.06,rest
3.62,0.06,rest
3.63,0.05,rest
3.64,0.05,rest
3.65,0.05,rest
3.66,0.05,rest
3.67,0.04,rest
3.68,0.04,rest
3.69,0.04,rest
3.7,0.04,rest
3.71,0.04,rest
3.72,0.04,rest
3.73,0.03,rest
3.74,0.03,rest
3.75,0.03,rest
3.76,0.03,rest
3.77,0.03,rest
3.78,0.03,rest
3.79,0.03,rest
3.8,0.03,rest
3.81,0.03,rest
3.82,0.04,rest
3.83,0.04,rest
3.84,0.04,rest
3.85,0.05,rest
3.86,0.05,rest
3.87,0.05,rest
3.88,0.05,rest
3.89,0.05,rest
3.9,0.06,rest
3.91,0.06,rest
3.92,0.06,rest
3.93,0.06,rest
3.94,0.06,rest
3.95,0.07,rest
3.96,0.06,rest
3.97,0.06,rest
3.98,0.07,rest
3.99,0.07,rest
4.0,0.08,rest
4.01,0.08,rest
4.02,0.09,rest
4.03,0.1,rest
4.04,0.12,rest
4.05,0.13,rest
4.06,0.14,rest
4.07,0.15,rest
4.08,0.15,rest
4.09,0.18,rest
4.1,0.22,rest
4.11,0.24,rest
4.12,0.26,rest
4.13,0.27,rest
4.14,0.28,rest
4.15,0.27,rest
4.16,0.27,rest
4.17,0.27,rest
4.18,0.25,rest
4.19,0.25,rest
4.2,0.26,rest
4.21,0.27,rest
4.22,0.25,rest
4.23,0.23,rest
4.24,0.21,rest
4.25,0.19,rest
4.26,0.18,rest
4.27,0.16,rest
4.28,0.15,rest
4.29,0.14,rest
4.3,0.13,rest
4.31,0.12,rest
4.32,0.1,rest
4.33,0.1,rest
4.34,0.09,rest
4.35,0.08,rest
4.36,0.08,rest
4.37,0.08,rest
4.38,0.07,rest
4.39,0.07,rest
4.4,0.06,rest
4.41,0.05,rest
4.42,0.05,rest
4.43,0.06,rest
4.44,0.06,rest
4.45,0.07,rest
4.46,0.08,rest
4.47,0.08,rest
4.48,0.09,rest
4.49,0.09,rest
4.5,0.09,rest
4.51,0.08,rest
4.52,0.07,rest
4.53,0.07,rest
4.54,0.07,rest
4.55,0.08,rest
4.56,0.07,rest
4.57,0.07,rest
4.58,0.08,rest
4.59,0.07,rest
4.6,0.07,rest
4.61,0.06,rest
4.62,0.06,rest
4.63,0.05,rest
4.64,0.05,rest
4.65,0.05,rest
4.66,0.05,rest
4.67,0.05,rest
4.68,0.05,rest
4.69,0.05,rest
4.7,0.05,rest
4.71,0.05,rest
4.72,0.05,rest
4.73,0.05,rest
4.74,0.05,rest
4.75,0.05,rest
4.76,0.05,rest
4.77,0.05,rest
4.78,0.05,rest
4.79,0.05,rest
4.8,0.05,rest
4.81,0.05,rest
4.82,0.05,rest
4.83,0.05,rest
4.84,0.05,rest
4.85,0.05,rest
4.86,0.05,rest
4.87,0.06,rest
4.88,0.06,rest
4.89,0.07,rest
4.9,0.1,rest
4.91,0.12,rest
4.92,0.14,rest
4.93,0.18,rest
4.94,0.19,rest
4.95,0.2,rest
4.96,0.24,rest
4.97,0.24,rest
4.98,0.26,rest
4.99,0.29,rest
5.0,0.29,rest
5.01,0.29,rest
5.02,0.27,rest
5.03,0.27,rest
5.04,0.25,rest
5.05,0.24,rest
5.06,0.25,rest
5.07,0.25,rest
5.08,0.24,rest
5.09,0.24,rest
5.1,0.22,rest
5.11,0.23,rest
5.12,0.2,rest
5.13,0.21,rest
5.14,0.21,rest
5.15,0.2,rest
5.16,0.19,rest
5.17,0.18,rest
5.18,0.17,rest
5.19,0.16,rest
5.2,0.14,rest
5.21,0.13,rest
5.22,0.12,rest
5.23,0.11,rest
5.24,0.1,rest
5.25,0.1,rest
5.26,0.09,rest
5.27,0.08,rest
5.28,0.07,rest
5.29,0.06,rest
5.3,0.06,rest
5.31,0.06,rest
5.32,0.06,rest
5.33,0.07,rest
5.34,0.08,rest
5.35,0.09,rest
5.36,0.1,rest
5.37,0.1,rest
5.38,0.1,rest
5.39,0.1,rest
5.4,0.1,rest
5.41,0.1,rest
5.42,0.09,rest
5.43,0.1,rest
5.44,0.1,rest
5.45,0.1,rest
5.46,0.09,rest
5.47,0.09,rest
5.48,0.09,rest
5.49,0.08,rest
5.5,0.07,rest
5.51,0.07,rest
5.52,0.06,rest
5.53,0.06,rest
5.54,0.05,rest
5.55,0.05,rest
5.56,0.05,rest
5.57,0.05,rest
5.58,0.04,rest
5.59,0.04,rest
5.6,0.04,rest
5.61,0.04,rest
5.62,0.04,rest
5.63,0.03,rest
5.64,0.03,rest
5.65,0.03,rest
5.66,0.04,rest
5.67,0.04,rest
5.68,0.03,rest
5.69,0.03,rest
5.7,0.03,rest
5.71,0.03,rest
5.72,0.03,rest
5.73,0.03,rest
5.74,0.03,rest
5.75,0.03,rest
5.76,0.03,rest
5.77,0.03,rest
5.78,0.03,rest
5.79,0.03,rest
5.8,0.03,rest
5.81,0.03,rest
5.82,0.03,rest
5.83,0.03,rest
5.84,0.03,rest
5.85,0.03,rest
5.86,0.04,rest
5.87,0.06,rest
5.88,0.09,rest
5.89,0.09,rest
5.9,0.11,rest
5.91,0.14,rest
5.92,0.16,rest
5.93,0.17,rest
5.94,0.17,rest
5.95,0.19,rest
5.96,0.22,rest
5.97,0.24,rest
5.98,0.26,rest
5.99,0.26,rest
6.0,0.27,rest
6.01,0.26,rest
6.02,0.27,rest
6.03,0.29,rest
6.04,0.26,rest
6.05,0.25,rest
6.06,0.24,rest
6.07,0.24,rest
6.08,0.22,rest
6.09,0.2,rest
6.1,0.19,rest
6.11,0.18,rest
6.12,0.16,rest
6.13,0.15,rest
6.14,0.14,rest
6.15,0.13,rest
6.16,0.12,rest
6.17,0.11,rest
6.18,0.1,rest
6.19,0.09,rest
6.2,0.09,rest
6.21,0.08,rest
6.22,0.07,rest
6.23,0.07,rest
6.24,0.06,rest
6.25,0.06,rest
6.26,0.06,rest
6.27,0.06,rest
6.28,0.05,rest
6.29,0.05,rest
6.3,0.05,rest
6.31,0.04,rest
6.32,0.04,rest
6.33,0.04,rest
6.34,0.04,rest
6.35,0.04,rest
6.36,0.04,rest
6.37,0.04,rest
6.38,0.04,rest
6.39,0.03,rest
6.4,0.03,rest
6.41,0.03,rest
6.42,0.03,rest
6.43,0.03,rest
6.44,0.03,rest
6.45,0.03,rest
6.46,0.03,rest
6.47,0.02,rest
6.48,0.02,rest
6.49,0.02,rest
6.5,0.02,rest
6.51,0.02,rest
6.52,0.02,rest
6.53,0.02,rest
6.54,0.02,rest
6.55,0.02,rest
6.56,0.02,rest
6.57,0.02,rest
6.58,0.02,rest
6.59,0.03,rest
6.6,0.03,rest
6.61,0.03,rest
6.62,0.03,rest
6.63,0.03,rest
6.64,0.03,rest
6.65,0.02,rest
6.66,0.02,rest
6.67,0.02,rest
6.68,0.02,rest
6.69,0.03,rest
6.7,0.03,rest
6.71,0.03,rest
6.72,0.03,rest
6.73,0.03,rest
6.74,0.04,rest
6.75,0.06,rest
6.76,0.08,rest
6.77,0.1,rest
6.78,0.1,rest
6.79,0.14,rest
6.8,0.14,rest
6.81,0.15,rest
6.82,0.16,rest
6.83,0.16,rest
6.84,0.15,rest
6.85,0.15,rest
6.86,0.14,rest
6.87,0.15,rest
6.88,0.15,rest
6.89,0.13,rest
6.9,0.13,rest
6.91,0.12,rest
6.92,0.12,rest
6.93,0.11,rest
6.94,0.12,rest
6.95,0.12,rest
6.96,0.12,rest
6.97,0.12,rest
6.98,0.14,rest
6.99,0.13,rest
7.0,0.14,rest
7.01,0.13,rest
7.02,0.13,rest
7.03,0.12,rest
7.04,0.1,rest
7.05,0.1,rest
7.06,0.09,rest
7.07,0.09,rest
7.08,0.09,rest
7.09,0.08,rest
7.1,0.09,rest
7.11,0.08,rest
7.12,0.09,rest
7.13,0.08,rest
