timestamp,emg_voltage,muscle_state
0.0,0.09,rest
0.51,0.09,rest
1.01,0.08,rest
1.51,0.08,rest
2.02,0.08,rest
2.52,0.08,rest
3.02,0.07,rest
3.52,0.07,rest
4.03,0.07,rest
4.53,0.07,rest
5.04,0.07,rest
5.54,0.07,rest
6.04,0.06,rest
6.55,0.06,rest
7.05,0.06,rest
7.56,0.06,rest
8.06,0.06,rest
8.57,0.06,rest
9.08,0.05,rest
9.58,0.05,rest
10.08,0.05,rest
10.59,0.05,rest
11.09,0.05,rest
11.6,0.04,rest
12.1,0.04,rest
12.6,0.04,rest
13.11,0.04,rest
13.61,0.04,rest
14.11,0.04,rest
14.62,0.04,rest
15.12,0.03,rest
15.63,0.03,rest
16.13,0.03,rest
16.64,0.03,rest
17.14,0.03,rest
17.64,0.03,rest
18.14,0.03,rest
18.65,0.03,rest
19.15,0.03,rest
19.66,0.03,rest
