Timestamp_ms,Filtered_Value_V,State
1750272652888,28.113,contracting
1750272652991,24.217,contracting
1750272653096,18.334,contracting
1750272653197,10.589,contracting
1750272653299,1.046,contracting
1750272653402,1.354,contracting
1750272653507,1.714,contracting
1750272653612,1.992,contracting
1750272653717,2.038,contracting
1750272653818,1.847,contracting
1750272653920,1.842,contracting
1750272654024,1.782,contracting
1750272654129,1.886,contracting
1750272654234,2.043,contracting
1750272654337,2.198,contracting
1750272654442,2.105,contracting
1750272654544,2.117,contracting
1750272654648,1.737,contracting
1750272654750,1.531,contracting
1750272654855,1.609,contracting
1750272654961,1.569,contracting
1750272655066,1.411,contracting
1750272655171,1.569,contracting
1750272655272,1.626,contracting
1750272655377,1.414,contracting
1750272655482,1.623,contracting
1750272655584,1.758,contracting
1750272655689,1.562,contracting
1750272655794,1.340,contracting
1750272655899,1.438,contracting
1750272656003,1.243,contracting
1750272656107,1.116,contracting
1750272656212,1.299,contracting
1750272656316,1.701,contracting
1750272656421,1.659,contracting
1750272656521,1.710,contracting
1750272656625,1.897,contracting
1750272656730,1.902,contracting
1750272656834,1.772,contracting
1750272656939,1.846,contracting
1750272657045,1.582,contracting
1750272657150,1.246,contracting
1750272657253,1.063,contracting
1750272657357,0.801,contracting
1750272657462,0.471,rest
1750272657564,0.502,rest
1750272657669,0.479,rest
1750272657774,0.491,rest
1750272657878,0.499,rest
1750272657980,0.499,rest
1750272658085,0.504,rest
1750272658190,0.496,rest
1750272658294,0.483,rest
1750272658399,0.463,rest
