timestamp,raw_value,emg_voltage,filtered_value,muscle_state
0.01,163,0.13,24.05,rest
0.02,164,0.13,10.11,rest
0.03,166,0.13,0.13,rest
0.04,167,0.13,0.13,rest
0.05,166,0.13,0.13,rest
0.06,164,0.13,0.13,rest
0.07,163,0.13,0.13,rest
0.08,167,0.13,0.13,rest
0.09,164,0.13,0.13,rest
0.1,167,0.13,0.13,rest
0.11,168,0.14,0.13,rest
0.12,168,0.14,0.14,rest
0.13,171,0.14,0.14,rest
0.14,175,0.14,0.14,rest
0.15,174,0.14,0.14,rest
0.16,173,0.14,0.14,rest
0.17,176,0.14,0.14,rest
0.18,179,0.14,0.14,rest
0.19,177,0.14,0.14,rest
0.2,181,0.15,0.14,rest
0.21,180,0.15,0.14,rest
0.22,180,0.15,0.15,rest
0.23,194,0.16,0.15,rest
0.24,191,0.15,0.15,rest
0.25,190,0.15,0.15,rest
0.26,192,0.15,0.15,rest
0.27,192,0.15,0.15,rest
0.28,198,0.16,0.16,rest
0.29,200,0.16,0.16,rest
0.3,231,0.19,0.17,rest
0.31,242,0.2,0.18,rest
0.32,231,0.19,0.19,rest
0.33,272,0.22,0.2,active
0.34,270,0.22,0.21,active
0.35,262,0.21,0.22,active
0.36,273,0.22,0.22,active
0.37,258,0.21,0.21,active
0.38,257,0.21,0.21,active
0.39,262,0.21,0.21,active
0.4,255,0.21,0.21,active
0.41,249,0.2,0.2,rest
0.42,249,0.2,0.2,rest
0.43,248,0.2,0.2,rest
0.44,246,0.2,0.2,rest
0.45,236,0.19,0.2,rest
0.46,236,0.19,0.19,rest
0.47,232,0.19,0.19,rest
0.48,235,0.19,0.19,rest
0.49,228,0.18,0.19,rest
0.5,226,0.18,0.18,rest
0.51,230,0.19,0.18,rest
0.52,232,0.19,0.19,rest
0.53,229,0.18,0.19,rest
0.54,220,0.18,0.18,rest
0.55,210,0.17,0.18,rest
0.56,211,0.17,0.17,rest
0.57,207,0.17,0.17,rest
0.58,197,0.16,0.16,rest
0.59,199,0.16,0.16,rest
0.6,192,0.15,0.16,rest
0.61,191,0.15,0.16,rest
0.62,194,0.16,0.16,rest
0.63,186,0.15,0.15,rest
0.64,187,0.15,0.15,rest
0.65,193,0.16,0.15,rest
0.66,189,0.15,0.15,rest
0.67,185,0.15,0.15,rest
0.68,181,0.15,0.15,rest
0.69,182,0.15,0.15,rest
0.7,178,0.14,0.15,rest
0.71,184,0.15,0.15,rest
0.72,189,0.15,0.15,rest
0.73,185,0.15,0.15,rest
0.74,185,0.15,0.15,rest
0.75,184,0.15,0.15,rest
0.76,188,0.15,0.15,rest
0.77,188,0.15,0.15,rest
0.78,186,0.15,0.15,rest
0.79,191,0.15,0.15,rest
0.8,188,0.15,0.15,rest
0.81,193,0.16,0.15,rest
0.82,193,0.16,0.15,rest
0.83,189,0.15,0.15,rest
0.84,193,0.16,0.15,rest
0.85,192,0.15,0.15,rest
0.86,191,0.15,0.15,rest
0.87,186,0.15,0.15,rest
0.88,187,0.15,0.15,rest
0.89,188,0.15,0.15,rest
0.9,185,0.15,0.15,rest
0.91,192,0.15,0.15,rest
0.92,186,0.15,0.15,rest
0.93,186,0.15,0.15,rest
0.94,186,0.15,0.15,rest
0.95,185,0.15,0.15,rest
0.96,184,0.15,0.15,rest
0.97,185,0.15,0.15,rest
0.98,183,0.15,0.15,rest
0.99,184,0.15,0.15,rest
1.0,181,0.15,0.15,rest
1.01,181,0.15,0.15,rest
1.02,178,0.14,0.14,rest
1.03,176,0.14,0.14,rest
1.04,181,0.15,0.14,rest
1.05,177,0.14,0.14,rest
1.06,177,0.14,0.14,rest
1.07,177,0.14,0.14,rest
1.08,175,0.14,0.14,rest
1.09,176,0.14,0.14,rest
1.1,177,0.14,0.14,rest
1.11,180,0.15,0.14,rest
1.12,174,0.14,0.14,rest
1.13,179,0.14,0.14,rest
1.14,181,0.15,0.14,rest
1.15,181,0.15,0.15,rest
1.16,181,0.15,0.15,rest
1.17,181,0.15,0.15,rest
1.18,182,0.15,0.15,rest
1.19,180,0.15,0.15,rest
1.2,179,0.14,0.15,rest
1.21,178,0.14,0.14,rest
1.22,174,0.14,0.14,rest
1.23,175,0.14,0.14,rest
1.24,176,0.14,0.14,rest
1.25,169,0.14,0.14,rest
1.26,171,0.14,0.14,rest
1.27,173,0.14,0.14,rest
1.28,167,0.13,0.14,rest
1.29,173,0.14,0.14,rest
1.3,177,0.14,0.14,rest
1.31,177,0.14,0.14,rest
1.32,175,0.14,0.14,rest
1.33,173,0.14,0.14,rest
1.34,174,0.14,0.14,rest
1.35,171,0.14,0.14,rest
1.36,175,0.14,0.14,rest
1.37,170,0.14,0.14,rest
1.38,178,0.14,0.14,rest
1.39,176,0.14,0.14,rest
1.4,176,0.14,0.14,rest
1.41,172,0.14,0.14,rest
1.42,175,0.14,0.14,rest
1.43,171,0.14,0.14,rest
1.44,172,0.14,0.14,rest
1.45,165,0.13,0.14,rest
1.46,172,0.14,0.14,rest
1.47,173,0.14,0.14,rest
1.48,170,0.14,0.14,rest
1.49,172,0.14,0.14,rest
1.5,172,0.14,0.14,rest
1.51,177,0.14,0.14,rest
1.52,185,0.15,0.14,rest
1.53,187,0.15,0.15,rest
1.54,186,0.15,0.15,rest
1.55,194,0.16,0.15,rest
1.56,196,0.16,0.16,rest
1.57,193,0.16,0.16,rest
1.58,195,0.16,0.16,rest
1.59,194,0.16,0.16,rest
1.6,187,0.15,0.15,rest
1.61,186,0.15,0.15,rest
1.62,190,0.15,0.15,rest
1.63,190,0.15,0.15,rest
1.64,192,0.15,0.15,rest
1.65,191,0.15,0.15,rest
1.66,191,0.15,0.15,rest
1.67,195,0.16,0.16,rest
1.68,194,0.16,0.16,rest
1.69,188,0.15,0.15,rest
1.7,194,0.16,0.15,rest
1.71,194,0.16,0.16,rest
1.72,188,0.15,0.15,rest
1.73,207,0.17,0.16,rest
1.74,207,0.17,0.16,rest
1.75,218,0.18,0.17,rest
1.76,218,0.18,0.17,rest
1.77,223,0.18,0.18,rest
1.78,218,0.18,0.18,rest
1.79,216,0.17,0.18,rest
1.8,215,0.17,0.17,rest
1.81,222,0.18,0.18,rest
1.82,223,0.18,0.18,rest
1.83,226,0.18,0.18,rest
1.84,228,0.18,0.18,rest
1.85,217,0.17,0.18,rest
1.86,210,0.17,0.17,rest
1.87,206,0.17,0.17,rest
1.88,206,0.17,0.17,rest
1.89,202,0.16,0.16,rest
1.9,195,0.16,0.16,rest
1.91,200,0.16,0.16,rest
1.92,194,0.16,0.16,rest
1.93,194,0.16,0.16,rest
1.94,202,0.16,0.16,rest
1.95,200,0.16,0.16,rest
1.96,195,0.16,0.16,rest
1.97,194,0.16,0.16,rest
1.98,190,0.15,0.16,rest
1.99,190,0.15,0.15,rest
2.0,191,0.15,0.15,rest
2.01,190,0.15,0.15,rest
2.02,182,0.15,0.15,rest
2.03,181,0.15,0.15,rest
2.04,186,0.15,0.15,rest
2.05,181,0.15,0.15,rest
2.06,190,0.15,0.15,rest
2.07,190,0.15,0.15,rest
2.08,184,0.15,0.15,rest
2.09,185,0.15,0.15,rest
2.1,185,0.15,0.15,rest
2.11,187,0.15,0.15,rest
2.12,186,0.15,0.15,rest
2.13,189,0.15,0.15,rest
2.14,190,0.15,0.15,rest
2.15,186,0.15,0.15,rest
2.16,189,0.15,0.15,rest
2.17,185,0.15,0.15,rest
2.18,183,0.15,0.15,rest
2.19,185,0.15,0.15,rest
2.2,186,0.15,0.15,rest
2.21,184,0.15,0.15,rest
2.22,183,0.15,0.15,rest
2.23,190,0.15,0.15,rest
2.24,192,0.15,0.15,rest
2.25,184,0.15,0.15,rest
2.26,187,0.15,0.15,rest
2.27,188,0.15,0.15,rest
2.28,181,0.15,0.15,rest
2.29,183,0.15,0.15,rest
2.3,182,0.15,0.15,rest
2.31,179,0.14,0.15,rest
2.32,176,0.14,0.14,rest
2.33,176,0.14,0.14,rest
2.34,173,0.14,0.14,rest
2.35,170,0.14,0.14,rest
2.36,172,0.14,0.14,rest
2.37,173,0.14,0.14,rest
2.38,171,0.14,0.14,rest
2.39,170,0.14,0.14,rest
2.4,167,0.13,0.14,rest
2.41,170,0.14,0.14,rest
2.42,170,0.14,0.14,rest
2.43,168,0.14,0.14,rest
2.44,167,0.13,0.14,rest
2.45,171,0.14,0.14,rest
2.46,173,0.14,0.14,rest
2.47,168,0.14,0.14,rest
2.48,169,0.14,0.14,rest
2.49,172,0.14,0.14,rest
2.5,170,0.14,0.14,rest
2.51,172,0.14,0.14,rest
2.52,175,0.14,0.14,rest
2.53,172,0.14,0.14,rest
2.54,175,0.14,0.14,rest
2.55,174,0.14,0.14,rest
2.56,173,0.14,0.14,rest
2.57,170,0.14,0.14,rest
2.58,172,0.14,0.14,rest
2.59,171,0.14,0.14,rest
2.6,169,0.14,0.14,rest
2.61,172,0.14,0.14,rest
2.62,178,0.14,0.14,rest
2.63,171,0.14,0.14,rest
2.64,173,0.14,0.14,rest
2.65,172,0.14,0.14,rest
2.66,171,0.14,0.14,rest
2.67,168,0.14,0.14,rest
2.68,171,0.14,0.14,rest
2.69,178,0.14,0.14,rest
2.7,174,0.14,0.14,rest
2.71,176,0.14,0.14,rest
2.72,173,0.14,0.14,rest
2.73,170,0.14,0.14,rest
2.74,171,0.14,0.14,rest
2.75,172,0.14,0.14,rest
2.76,170,0.14,0.14,rest
2.77,171,0.14,0.14,rest
2.78,176,0.14,0.14,rest
2.79,174,0.14,0.14,rest
2.8,172,0.14,0.14,rest
2.81,173,0.14,0.14,rest
2.82,168,0.14,0.14,rest
2.83,170,0.14,0.14,rest
2.84,172,0.14,0.14,rest
2.85,172,0.14,0.14,rest
2.86,170,0.14,0.14,rest
2.87,171,0.14,0.14,rest
2.88,179,0.14,0.14,rest
2.89,175,0.14,0.14,rest
2.9,177,0.14,0.14,rest
2.91,178,0.14,0.14,rest
2.92,173,0.14,0.14,rest
2.93,177,0.14,0.14,rest
2.94,175,0.14,0.14,rest
2.95,172,0.14,0.14,rest
2.96,171,0.14,0.14,rest
2.97,170,0.14,0.14,rest
2.98,167,0.13,0.14,rest
2.99,167,0.13,0.14,rest
3.0,170,0.14,0.14,rest
3.01,172,0.14,0.14,rest
3.02,172,0.14,0.14,rest
3.03,175,0.14,0.14,rest
3.04,174,0.14,0.14,rest
3.05,173,0.14,0.14,rest
3.06,175,0.14,0.14,rest
3.07,173,0.14,0.14,rest
3.08,170,0.14,0.14,rest
3.09,169,0.14,0.14,rest
3.1,170,0.14,0.14,rest
3.11,166,0.13,0.14,rest
3.12,165,0.13,0.13,rest
3.13,165,0.13,0.13,rest
3.14,165,0.13,0.13,rest
3.15,167,0.13,0.13,rest
3.16,172,0.14,0.14,rest
3.17,170,0.14,0.14,rest
3.18,168,0.14,0.14,rest
3.19,167,0.13,0.14,rest
3.2,170,0.14,0.14,rest
3.21,176,0.14,0.14,rest
3.22,181,0.15,0.14,rest
3.23,192,0.15,0.15,rest
3.24,188,0.15,0.15,rest
3.25,185,0.15,0.15,rest
3.26,188,0.15,0.15,rest
3.27,194,0.16,0.15,rest
3.28,188,0.15,0.15,rest
3.29,187,0.15,0.15,rest
3.3,184,0.15,0.15,rest
3.31,187,0.15,0.15,rest
3.32,191,0.15,0.15,rest
3.33,185,0.15,0.15,rest
3.34,186,0.15,0.15,rest
3.35,186,0.15,0.15,rest
3.36,188,0.15,0.15,rest
3.37,183,0.15,0.15,rest
3.38,191,0.15,0.15,rest
3.39,197,0.16,0.15,rest
3.4,185,0.15,0.15,rest
3.41,184,0.15,0.15,rest
3.42,192,0.15,0.15,rest
3.43,186,0.15,0.15,rest
3.44,194,0.16,0.15,rest
3.45,196,0.16,0.16,rest
3.46,194,0.16,0.16,rest
3.47,192,0.15,0.16,rest
3.48,194,0.16,0.16,rest
3.49,197,0.16,0.16,rest
3.5,198,0.16,0.16,rest
3.51,204,0.16,0.16,rest
3.52,209,0.17,0.17,rest
3.53,212,0.17,0.17,rest
3.54,209,0.17,0.17,rest
3.55,206,0.17,0.17,rest
3.56,212,0.17,0.17,rest
3.57,206,0.17,0.17,rest
3.58,204,0.16,0.17,rest
3.59,218,0.18,0.17,rest
3.6,221,0.18,0.17,rest
3.61,220,0.18,0.18,rest
3.62,215,0.17,0.18,rest
3.63,208,0.17,0.17,rest
3.64,212,0.17,0.17,rest
3.65,206,0.17,0.17,rest
3.66,210,0.17,0.17,rest
3.67,211,0.17,0.17,rest
3.68,215,0.17,0.17,rest
3.69,208,0.17,0.17,rest
3.7,212,0.17,0.17,rest
3.71,217,0.17,0.17,rest
3.72,210,0.17,0.17,rest
3.73,208,0.17,0.17,rest
3.74,210,0.17,0.17,rest
3.75,206,0.17,0.17,rest
3.76,210,0.17,0.17,rest
3.77,209,0.17,0.17,rest
3.78,215,0.17,0.17,rest
3.79,204,0.16,0.17,rest
3.8,215,0.17,0.17,rest
3.81,214,0.17,0.17,rest
3.82,214,0.17,0.17,rest
3.83,210,0.17,0.17,rest
3.84,215,0.17,0.17,rest
3.85,218,0.18,0.17,rest
3.86,219,0.18,0.18,rest
3.87,218,0.18,0.18,rest
3.88,214,0.17,0.17,rest
3.89,224,0.18,0.18,rest
3.9,236,0.19,0.18,rest
3.91,228,0.18,0.19,rest
3.92,222,0.18,0.18,rest
3.93,219,0.18,0.18,rest
3.94,210,0.17,0.17,rest
3.95,215,0.17,0.17,rest
3.96,218,0.18,0.17,rest
3.97,219,0.18,0.18,rest
3.98,225,0.18,0.18,rest
3.99,228,0.18,0.18,rest
4.0,228,0.18,0.18,rest
4.01,221,0.18,0.18,rest
4.02,229,0.18,0.18,rest
4.03,222,0.18,0.18,rest
4.04,222,0.18,0.18,rest
4.05,217,0.17,0.18,rest
4.06,221,0.18,0.18,rest
4.07,217,0.17,0.18,rest
4.08,214,0.17,0.17,rest
4.09,209,0.17,0.17,rest
4.1,214,0.17,0.17,rest
4.11,207,0.17,0.17,rest
4.12,207,0.17,0.17,rest
4.13,208,0.17,0.17,rest
4.14,200,0.16,0.16,rest
4.15,211,0.17,0.17,rest
4.16,213,0.17,0.17,rest
4.17,206,0.17,0.17,rest
4.18,204,0.16,0.17,rest
4.19,201,0.16,0.16,rest
4.2,200,0.16,0.16,rest
4.21,194,0.16,0.16,rest
4.22,197,0.16,0.16,rest
4.23,196,0.16,0.16,rest
4.24,192,0.15,0.16,rest
4.25,196,0.16,0.16,rest
4.26,214,0.17,0.16,rest
4.27,235,0.19,0.18,rest
4.28,270,0.22,0.2,active
4.29,282,0.23,0.22,active
4.3,286,0.23,0.23,active
4.31,280,0.23,0.23,active
4.32,276,0.22,0.23,active
4.33,271,0.22,0.22,active
4.34,268,0.22,0.22,active
4.35,289,0.23,0.22,active
4.36,276,0.22,0.23,active
4.37,272,0.22,0.22,active
4.38,295,0.24,0.23,active
4.39,315,0.25,0.24,active
4.4,299,0.24,0.25,active
4.41,298,0.24,0.24,active
4.42,289,0.23,0.24,active
4.43,286,0.23,0.23,active
4.44,293,0.24,0.23,active
4.45,293,0.24,0.23,active
4.46,295,0.24,0.24,active
4.47,300,0.24,0.24,active
4.48,310,0.25,0.24,active
4.49,292,0.24,0.24,active
4.5,282,0.23,0.23,active
4.51,270,0.22,0.22,active
4.52,259,0.21,0.22,active
4.53,256,0.21,0.21,active
4.54,252,0.2,0.21,active
4.55,266,0.21,0.21,active
4.56,259,0.21,0.21,active
4.57,257,0.21,0.21,active
4.58,251,0.2,0.21,active
4.59,247,0.2,0.2,rest
4.6,240,0.19,0.2,rest
4.61,240,0.19,0.19,rest
4.62,230,0.19,0.19,rest
4.63,227,0.18,0.19,rest
4.64,220,0.18,0.18,rest
4.65,224,0.18,0.18,rest
4.66,233,0.19,0.18,rest
4.67,230,0.19,0.19,rest
4.68,230,0.19,0.19,rest
4.69,223,0.18,0.18,rest
4.7,224,0.18,0.18,rest
4.71,225,0.18,0.18,rest
4.72,217,0.17,0.18,rest
4.73,220,0.18,0.18,rest
4.74,210,0.17,0.17,rest
4.75,215,0.17,0.17,rest
4.76,221,0.18,0.17,rest
4.77,220,0.18,0.18,rest
4.78,226,0.18,0.18,rest
4.79,215,0.17,0.18,rest
4.8,221,0.18,0.18,rest
4.81,216,0.17,0.18,rest
4.82,218,0.18,0.18,rest
4.83,223,0.18,0.18,rest
4.84,221,0.18,0.18,rest
4.85,222,0.18,0.18,rest
4.86,220,0.18,0.18,rest
4.87,220,0.18,0.18,rest
4.88,228,0.18,0.18,rest
4.89,226,0.18,0.18,rest
4.9,226,0.18,0.18,rest
4.91,240,0.19,0.19,rest
4.92,233,0.19,0.19,rest
4.93,236,0.19,0.19,rest
4.94,224,0.18,0.19,rest
4.95,231,0.19,0.18,rest
4.96,228,0.18,0.18,rest
4.97,230,0.19,0.18,rest
4.98,227,0.18,0.18,rest
4.99,235,0.19,0.19,rest
5.0,234,0.19,0.19,rest
5.01,235,0.19,0.19,rest
5.02,231,0.19,0.19,rest
5.03,232,0.19,0.19,rest
5.04,237,0.19,0.19,rest
5.05,239,0.19,0.19,rest
5.06,258,0.21,0.2,active
5.07,259,0.21,0.21,active
5.08,256,0.21,0.21,active
5.09,243,0.2,0.2,rest
5.1,242,0.2,0.2,rest
5.11,233,0.19,0.19,rest
5.12,232,0.19,0.19,rest
5.13,230,0.19,0.19,rest
5.14,220,0.18,0.18,rest
5.15,239,0.19,0.19,rest
5.16,240,0.19,0.19,rest
5.17,238,0.19,0.19,rest
5.18,256,0.21,0.2,active
5.19,263,0.21,0.21,active
5.2,249,0.2,0.21,rest
5.21,268,0.22,0.21,active
5.22,273,0.22,0.21,active
5.23,280,0.23,0.22,active
5.24,272,0.22,0.22,active
5.25,287,0.23,0.23,active
5.26,302,0.24,0.23,active
5.27,291,0.23,0.24,active
5.28,288,0.23,0.24,active
5.29,282,0.23,0.23,active
5.3,288,0.23,0.23,active
5.31,278,0.22,0.23,active
5.32,273,0.22,0.22,active
5.33,264,0.21,0.22,active
5.34,261,0.21,0.21,active
5.35,251,0.2,0.21,active
5.36,259,0.21,0.21,active
5.37,254,0.2,0.21,active
5.38,247,0.2,0.2,rest
5.39,239,0.19,0.2,rest
5.4,230,0.19,0.19,rest
5.41,250,0.2,0.19,rest
5.42,237,0.19,0.19,rest
5.43,234,0.19,0.19,rest
5.44,238,0.19,0.19,rest
5.45,227,0.18,0.19,rest
5.46,231,0.19,0.19,rest
5.47,223,0.18,0.18,rest
5.48,219,0.18,0.18,rest
5.49,217,0.17,0.18,rest
5.5,214,0.17,0.17,rest
5.51,217,0.17,0.17,rest
5.52,215,0.17,0.17,rest
5.53,215,0.17,0.17,rest
5.54,218,0.18,0.17,rest
5.55,215,0.17,0.17,rest
5.56,210,0.17,0.17,rest
5.57,216,0.17,0.17,rest
5.58,221,0.18,0.17,rest
5.59,218,0.18,0.18,rest
5.6,226,0.18,0.18,rest
5.61,232,0.19,0.18,rest
5.62,232,0.19,0.19,rest
5.63,236,0.19,0.19,rest
5.64,232,0.19,0.19,rest
5.65,234,0.19,0.19,rest
5.66,238,0.19,0.19,rest
5.67,240,0.19,0.19,rest
5.68,238,0.19,0.19,rest
5.69,234,0.19,0.19,rest
5.7,238,0.19,0.19,rest
5.71,243,0.2,0.19,rest
5.72,238,0.19,0.19,rest
5.73,236,0.19,0.19,rest
5.74,239,0.19,0.19,rest
5.75,243,0.2,0.19,rest
5.76,236,0.19,0.19,rest
5.77,238,0.19,0.19,rest
5.78,239,0.19,0.19,rest
5.79,231,0.19,0.19,rest
5.8,236,0.19,0.19,rest
5.81,235,0.19,0.19,rest
5.82,231,0.19,0.19,rest
5.83,232,0.19,0.19,rest
5.84,225,0.18,0.18,rest
5.85,226,0.18,0.18,rest
5.86,237,0.19,0.19,rest
5.87,238,0.19,0.19,rest
5.88,243,0.2,0.19,rest
5.89,237,0.19,0.19,rest
5.9,242,0.2,0.19,rest
5.91,256,0.21,0.2,active
5.92,256,0.21,0.2,active
5.93,270,0.22,0.21,active
5.94,258,0.21,0.21,active
5.95,261,0.21,0.21,active
5.96,248,0.2,0.21,rest
5.97,250,0.2,0.2,rest
5.98,252,0.2,0.2,active
5.99,248,0.2,0.2,rest
6.0,262,0.21,0.21,active
6.01,258,0.21,0.21,active
6.02,261,0.21,0.21,active
6.03,263,0.21,0.21,active
6.04,263,0.21,0.21,active
6.05,276,0.22,0.22,active
6.06,265,0.21,0.22,active
6.07,284,0.23,0.22,active
6.08,272,0.22,0.22,active
6.09,282,0.23,0.22,active
6.1,279,0.22,0.22,active
6.11,268,0.22,0.22,active
6.12,267,0.22,0.22,active
6.13,259,0.21,0.21,active
6.14,262,0.21,0.21,active
6.15,260,0.21,0.21,active
6.16,260,0.21,0.21,active
6.17,256,0.21,0.21,active
6.18,251,0.2,0.21,active
6.19,244,0.2,0.2,rest
6.2,244,0.2,0.2,rest
6.21,241,0.19,0.2,rest
6.22,252,0.2,0.2,active
6.23,246,0.2,0.2,rest
6.24,241,0.19,0.2,rest
6.25,230,0.19,0.19,rest
6.26,233,0.19,0.19,rest
6.27,222,0.18,0.18,rest
6.28,222,0.18,0.18,rest
6.29,214,0.17,0.18,rest
6.3,206,0.17,0.17,rest
6.31,198,0.16,0.16,rest
6.32,200,0.16,0.16,rest
6.33,198,0.16,0.16,rest
6.34,195,0.16,0.16,rest
6.35,191,0.15,0.16,rest
6.36,185,0.15,0.15,rest
6.37,189,0.15,0.15,rest
6.38,189,0.15,0.15,rest
6.39,184,0.15,0.15,rest
6.4,184,0.15,0.15,rest
6.41,183,0.15,0.15,rest
6.42,179,0.14,0.15,rest
6.43,180,0.15,0.15,rest
6.44,189,0.15,0.15,rest
6.45,194,0.16,0.15,rest
6.46,207,0.17,0.16,rest
6.47,205,0.17,0.16,rest
6.48,202,0.16,0.16,rest
6.49,206,0.17,0.16,rest
6.5,208,0.17,0.17,rest
6.51,214,0.17,0.17,rest
6.52,212,0.17,0.17,rest
6.53,222,0.18,0.17,rest
6.54,222,0.18,0.18,rest
6.55,214,0.17,0.18,rest
6.56,219,0.18,0.18,rest
6.57,215,0.17,0.17,rest
6.58,223,0.18,0.18,rest
6.59,218,0.18,0.18,rest
6.6,220,0.18,0.18,rest
6.61,213,0.17,0.17,rest
6.62,210,0.17,0.17,rest
6.63,219,0.18,0.17,rest
6.64,210,0.17,0.17,rest
6.65,208,0.17,0.17,rest
6.66,210,0.17,0.17,rest
6.67,218,0.18,0.17,rest
6.68,232,0.19,0.18,rest
6.69,225,0.18,0.18,rest
6.7,232,0.19,0.18,rest
6.71,230,0.19,0.19,rest
6.72,230,0.19,0.19,rest
6.73,233,0.19,0.19,rest
6.74,241,0.19,0.19,rest
6.75,251,0.2,0.2,active
6.76,262,0.21,0.2,active
6.77,268,0.22,0.21,active
6.78,256,0.21,0.21,active
6.79,255,0.21,0.21,active
6.8,258,0.21,0.21,active
6.81,253,0.2,0.21,active
6.82,251,0.2,0.2,active
6.83,239,0.19,0.2,rest
6.84,240,0.19,0.19,rest
6.85,244,0.2,0.19,rest
6.86,245,0.2,0.2,rest
6.87,246,0.2,0.2,rest
6.88,254,0.2,0.2,active
6.89,254,0.2,0.2,active
6.9,245,0.2,0.2,rest
6.91,259,0.21,0.2,active
6.92,256,0.21,0.21,active
6.93,255,0.21,0.21,active
6.94,251,0.2,0.2,active
6.95,246,0.2,0.2,rest
6.96,234,0.19,0.2,rest
6.97,259,0.21,0.2,active
6.98,256,0.21,0.2,active
6.99,261,0.21,0.21,active
7.0,263,0.21,0.21,active
7.01,256,0.21,0.21,active
7.02,253,0.2,0.21,active
7.03,255,0.21,0.21,active
7.04,246,0.2,0.2,rest
7.05,258,0.21,0.2,active
7.06,252,0.2,0.2,active
7.07,261,0.21,0.21,active
7.08,268,0.22,0.21,active
7.09,251,0.2,0.21,active
7.1,249,0.2,0.2,rest
7.11,249,0.2,0.2,rest
7.12,234,0.19,0.2,rest
7.13,226,0.18,0.19,rest
7.14,221,0.18,0.18,rest
7.15,219,0.18,0.18,rest
7.16,214,0.17,0.18,rest
7.17,214,0.17,0.17,rest
7.18,211,0.17,0.17,rest
7.19,201,0.16,0.17,rest
7.2,200,0.16,0.16,rest
7.21,200,0.16,0.16,rest
7.22,196,0.16,0.16,rest
7.23,198,0.16,0.16,rest
7.24,195,0.16,0.16,rest
7.25,192,0.15,0.16,rest
7.26,196,0.16,0.16,rest
7.27,192,0.15,0.16,rest
7.28,200,0.16,0.16,rest
7.29,198,0.16,0.16,rest
7.3,200,0.16,0.16,rest
7.31,203,0.16,0.16,rest
7.32,199,0.16,0.16,rest
7.33,207,0.17,0.16,rest
7.34,203,0.16,0.16,rest
7.35,200,0.16,0.16,rest
7.36,203,0.16,0.16,rest
7.37,209,0.17,0.17,rest
7.38,218,0.18,0.17,rest
7.39,211,0.17,0.17,rest
7.4,212,0.17,0.17,rest
7.41,211,0.17,0.17,rest
7.42,206,0.17,0.17,rest
7.43,206,0.17,0.17,rest
7.44,201,0.16,0.16,rest
7.45,198,0.16,0.16,rest
7.46,211,0.17,0.16,rest
