timestamp,emg_voltage,muscle_state
0.01,0.18,rest
0.02,0.18,rest
0.03,0.18,rest
0.04,0.18,rest
0.05,0.18,rest
0.06,0.18,rest
0.07,0.18,rest
0.08,0.18,rest
0.09,0.18,rest
0.1,0.18,rest
0.11,0.18,rest
0.12,0.18,rest
0.13,0.19,rest
0.14,0.18,rest
0.15,0.18,rest
0.16,0.18,rest
0.17,0.18,rest
0.18,0.18,rest
0.19,0.18,rest
0.2,0.18,rest
0.21,0.18,rest
0.22,0.18,rest
0.23,0.18,rest
0.24,0.18,rest
0.25,0.18,rest
0.26,0.18,rest
0.27,0.18,rest
0.28,0.18,rest
0.29,0.18,rest
0.3,0.18,rest
0.31,0.18,rest
0.32,0.18,rest
0.33,0.18,rest
0.34,0.18,rest
0.35,0.18,rest
0.36,0.18,rest
0.37,0.18,rest
0.38,0.18,rest
0.39,0.18,rest
0.4,0.18,rest
0.41,0.18,rest
0.42,0.18,rest
0.43,0.18,rest
0.44,0.18,rest
0.45,0.18,rest
0.46,0.18,rest
0.47,0.18,rest
0.48,0.18,rest
0.49,0.18,rest
0.5,0.18,rest
0.51,0.18,rest
0.52,0.18,rest
0.53,0.18,rest
0.54,0.18,rest
0.55,0.18,rest
0.56,0.18,rest
0.57,0.18,rest
0.58,0.18,rest
0.59,0.18,rest
0.6,0.18,rest
0.61,0.18,rest
0.62,0.18,rest
0.63,0.18,rest
0.64,0.18,rest
0.65,0.18,rest
0.66,0.18,rest
0.67,0.18,rest
0.68,0.18,rest
0.69,0.18,rest
0.7,0.18,rest
0.71,0.18,rest
0.72,0.18,rest
0.73,0.18,rest
0.74,0.18,rest
0.75,0.18,rest
0.76,0.18,rest
0.77,0.18,rest
0.78,0.18,rest
0.79,0.18,rest
0.8,0.18,rest
0.81,0.18,rest
0.82,0.18,rest
0.83,0.18,rest
0.84,0.18,rest
0.85,0.18,rest
0.86,0.18,rest
0.87,0.18,rest
0.88,0.18,rest
0.89,0.18,rest
0.9,0.18,rest
0.91,0.18,rest
0.92,0.18,rest
0.93,0.18,rest
0.94,0.18,rest
0.95,0.18,rest
0.96,0.18,rest
0.97,0.18,rest
0.98,0.18,rest
0.99,0.18,rest
1.0,0.18,rest
1.01,0.18,rest
1.02,0.18,rest
1.03,0.18,rest
1.04,0.18,rest
1.05,0.18,rest
1.06,0.18,rest
1.07,0.18,rest
1.08,0.18,rest
1.09,0.18,rest
1.1,0.18,rest
1.11,0.18,rest
1.12,0.18,rest
1.13,0.18,rest
1.14,0.18,rest
1.15,0.18,rest
1.16,0.18,rest
1.17,0.18,rest
1.18,0.18,rest
1.19,0.18,rest
1.2,0.18,rest
1.21,0.18,rest
1.22,0.18,rest
1.23,0.18,rest
1.24,0.18,rest
1.25,0.18,rest
1.26,0.18,rest
1.27,0.18,rest
1.28,0.18,rest
1.29,0.18,rest
1.3,0.18,rest
1.31,0.18,rest
1.32,0.18,rest
1.33,0.18,rest
1.34,0.18,rest
1.35,0.18,rest
1.36,0.18,rest
1.37,0.18,rest
1.38,0.18,rest
1.39,0.18,rest
1.4,0.18,rest
1.41,0.18,rest
1.42,0.18,rest
1.43,0.18,rest
1.44,0.18,rest
1.45,0.18,rest
1.46,0.18,rest
1.47,0.18,rest
1.48,0.18,rest
1.49,0.18,rest
1.5,0.18,rest
1.51,0.18,rest
1.52,0.18,rest
1.53,0.18,rest
1.54,0.18,rest
1.55,0.18,rest
1.56,0.18,rest
1.57,0.18,rest
1.58,0.18,rest
1.59,0.18,rest
1.6,0.18,rest
1.61,0.18,rest
1.62,0.18,rest
1.63,0.18,rest
1.64,0.18,rest
1.65,0.18,rest
1.66,0.18,rest
1.67,0.18,rest
1.68,0.18,rest
1.69,0.18,rest
1.7,0.18,rest
1.71,0.18,rest
1.72,0.18,rest
1.73,0.18,rest
1.74,0.18,rest
1.75,0.18,rest
1.76,0.18,rest
1.77,0.18,rest
1.78,0.18,rest
1.79,0.18,rest
1.8,0.18,rest
1.81,0.18,rest
1.82,0.18,rest
1.83,0.18,rest
1.84,0.18,rest
1.85,0.18,rest
1.86,0.18,rest
1.87,0.18,rest
1.88,0.18,rest
1.89,0.18,rest
1.9,0.18,rest
1.91,0.18,rest
1.92,0.18,rest
1.93,0.18,rest
1.94,0.18,rest
1.95,0.18,rest
1.96,0.18,rest
1.97,0.18,rest
1.98,0.18,rest
1.99,0.18,rest
2.0,0.18,rest
2.01,0.18,rest
2.02,0.18,rest
2.03,0.18,rest
2.04,0.18,rest
2.05,0.18,rest
2.06,0.18,rest
2.07,0.18,rest
2.08,0.18,rest
2.09,0.18,rest
2.1,0.18,rest
2.11,0.18,rest
2.12,0.18,rest
2.13,0.18,rest
2.14,0.18,rest
2.15,0.18,rest
2.16,0.18,rest
2.17,0.18,rest
2.18,0.18,rest
2.19,0.18,rest
2.2,0.18,rest
2.21,0.18,rest
2.22,0.18,rest
2.23,0.18,rest
2.24,0.18,rest
2.25,0.18,rest
2.26,0.18,rest
2.27,0.18,rest
2.28,0.18,rest
2.29,0.18,rest
2.3,0.18,rest
2.31,0.18,rest
2.32,0.18,rest
2.33,0.18,rest
2.34,0.18,rest
2.35,0.18,rest
2.36,0.18,rest
2.37,0.18,rest
2.38,0.18,rest
2.39,0.18,rest
2.4,0.18,rest
2.41,0.18,rest
2.42,0.18,rest
2.43,0.18,rest
2.44,0.18,rest
2.45,0.18,rest
2.46,0.18,rest
2.47,0.18,rest
2.48,0.18,rest
2.49,0.18,rest
2.5,0.18,rest
2.51,0.18,rest
2.52,0.18,rest
2.53,0.18,rest
2.54,0.18,rest
2.55,0.18,rest
2.56,0.18,rest
2.57,0.18,rest
2.58,0.18,rest
2.59,0.18,rest
2.6,0.18,rest
2.61,0.18,rest
2.62,0.18,rest
2.63,0.18,rest
2.64,0.18,rest
2.65,0.18,rest
2.66,0.18,rest
2.67,0.18,rest
2.68,0.18,rest
2.69,0.18,rest
2.7,0.18,rest
2.71,0.18,rest
2.72,0.18,rest
2.73,0.18,rest
2.74,0.18,rest
2.75,0.18,rest
2.76,0.18,rest
2.77,0.18,rest
2.78,0.18,rest
2.79,0.18,rest
2.8,0.18,rest
2.81,0.18,rest
2.82,0.18,rest
2.83,0.18,rest
2.84,0.18,rest
2.85,0.18,rest
2.86,0.18,rest
2.87,0.18,rest
2.88,0.18,rest
2.89,0.18,rest
2.9,0.18,rest
2.91,0.18,rest
2.92,0.18,rest
2.93,0.18,rest
2.94,0.18,rest
2.95,0.18,rest
2.96,0.18,rest
2.97,0.18,rest
2.98,0.18,rest
2.99,0.18,rest
3.0,0.18,rest
3.01,0.18,rest
3.02,0.18,rest
3.03,0.18,rest
3.04,0.18,rest
3.05,0.18,rest
3.06,0.18,rest
3.07,0.18,rest
3.08,0.18,rest
3.09,0.18,rest
3.1,0.18,rest
3.11,0.18,rest
3.12,0.18,rest
3.13,0.18,rest
3.14,0.18,rest
3.15,0.18,rest
3.16,0.18,rest
3.17,0.18,rest
3.18,0.18,rest
3.19,0.18,rest
3.2,0.18,rest
3.21,0.18,rest
3.22,0.18,rest
3.23,0.18,rest
3.24,0.18,rest
3.25,0.18,rest
3.26,0.18,rest
3.27,0.18,rest
3.28,0.18,rest
3.29,0.18,rest
3.3,0.18,rest
3.31,0.18,rest
3.32,0.18,rest
3.33,0.18,rest
3.34,0.18,rest
3.35,0.18,rest
3.36,0.18,rest
3.37,0.18,rest
3.38,0.18,rest
3.39,0.18,rest
3.4,0.18,rest
3.41,0.18,rest
3.42,0.18,rest
3.43,0.18,rest
3.44,0.18,rest
3.45,0.18,rest
3.46,0.18,rest
3.47,0.18,rest
3.48,0.18,rest
3.49,0.18,rest
3.5,0.18,rest
3.51,0.18,rest
3.52,0.18,rest
3.53,0.18,rest
3.54,0.18,rest
3.55,0.18,rest
3.56,0.18,rest
3.57,0.18,rest
3.58,0.18,rest
3.59,0.18,rest
3.6,0.18,rest
3.61,0.18,rest
3.62,0.18,rest
3.63,0.18,rest
3.64,0.18,rest
3.65,0.18,rest
3.66,0.18,rest
3.67,0.18,rest
3.68,0.18,rest
3.69,0.18,rest
3.7,0.18,rest
3.71,0.18,rest
3.72,0.18,rest
3.73,0.18,rest
3.74,0.18,rest
3.75,0.18,rest
3.76,0.18,rest
3.77,0.18,rest
3.78,0.18,rest
3.79,0.18,rest
3.8,0.18,rest
3.81,0.18,rest
3.82,0.18,rest
3.83,0.18,rest
3.84,0.18,rest
3.85,0.18,rest
3.86,0.18,rest
3.87,0.18,rest
3.88,0.18,rest
3.89,0.18,rest
3.9,0.18,rest
3.91,0.18,rest
3.92,0.18,rest
3.93,0.18,rest
3.94,0.18,rest
3.95,0.18,rest
3.96,0.18,rest
